y	x	lower_error	upper_error	champ
0	0.2807017543859649	0.15676080408163892	0.1959884425265555	Sylas
1	0.3355263157894737	0.10874686904765085	0.11553932871418376	Briar
2	0.4	0.20447308973520117	0.2278905304321397	LeeSin
3	0.40384615384615385	0.19865417061225407	0.21899443098018567	Zoe
4	0.4148148148148148	0.12199959860015908	0.13094611262813766	Ryze
5	0.4268292682926829	0.11469337353798376	0.11536628279054412	Aurora
6	0.43217665615141954	0.06291346409376686	0.06397987008250905	Anivia
7	0.43737166324435317	0.07166927742079887	0.07267796676100402	TwistedFate
8	0.4444444444444444	0.19214432457605607	0.204609067622314	Jayce
9	0.4523809523809524	0.21199964713998792	0.21772633158239735	Orianna
10	0.4528301886792453	0.18290472377523997	0.19186769651782176	Mordekaiser
11	0.45454545454545453	0.11977993190845748	0.12190522777177398	Teemo
12	0.45555555555555555	0.09647358976383885	0.09888091354652312	Quinn
13	0.46875	0.17237655717342426	0.17774204334443966	Pyke
14	0.47302431610942247	0.01840813606011843	0.018432921559930038	Kalista
15	0.4762371669165994	0.008836190158381885	0.008791665383233616	Varus
16	0.4785714285714286	0.12843490996494	0.13197000972733336	Kindred
17	0.47876447876447875	0.07014273023756573	0.07094347452363786	Akshan
18	0.4791666666666667	0.20877275108905702	0.21378055885546315	Viego
19	0.4813418353202107	0.0061252822172948584	0.006113252965766203	Yunara
20	0.4817073170731707	0.12107460832233435	0.1221880641112838	Zilean
21	0.48280366998867363	0.004027281614393308	0.004022242381374663	Ezreal
22	0.4831932773109244	0.030188011286601424	0.03067861265308164	Cassiopeia
23	0.4834905660377358	0.07871639702909716	0.0786062127618749	MasterYi
24	0.48451053283767037	0.05678658524100999	0.056947893498897006	Malzahar
25	0.48457571668853855	0.007060111430639671	0.007075817731399814	Aphelios
26	0.4847457627118644	0.09215531824810796	0.09354859660569848	Ahri
27	0.4858555431864318	0.009379811661979598	0.009424385965960014	Corki
28	0.4858821231434793	0.004417124354287538	0.004428618998625122	Kaisa
29	0.49230769230769234	0.09958366869398683	0.10166130272550344	Neeko
30	0.4934550386297487	0.006417796447212132	0.006423290313924246	Lucian
31	0.49534811205139917	0.0044282293905101855	0.004431221143454178	Caitlyn
32	0.4968181818181818	0.034697254858693016	0.03484517713131219	Vladimir
33	0.49822649820331516	0.007950287834337044	0.007881611178357117	Twitch
34	0.49899611832418683	0.013477126959816954	0.013372228995274293	Mel
35	0.49921801689083517	0.011898119631761406	0.01180836347296571	Zeri
36	0.499531320705928	0.004678725248372428	0.004673215402898001	Jhin
37	0.5	0.1768574330820818	0.17685743308208335	Garen
38	0.5	0.1768574330820818	0.17685743308208335	Qiyana
39	0.5	0.17433765400747342	0.17065633531918234	Morgana
40	0.5027124773960217	0.0685752462755892	0.06791117482065756	Sion
41	0.5029308476611967	0.005939758429698516	0.005946735235492162	Smolder
42	0.5045045045045045	0.14682688627919654	0.14877343907451335	Graves
43	0.5053235053235053	0.0073455134518621845	0.007354470204320451	Vayne
44	0.5056598442439119	0.006908315328972348	0.006911447680513549	Sivir
