matchup	champ	delta	wr_corrected	opp	total
Ahri_Caitlyn	Ahri	0.0	0.39716237955527195	Caitlyn	31.0
Ahri_Ezreal	Ahri	0.0	0.5130716556722609	Ezreal	39.0
Ahri_Jhin	Ahri	0.0	0.5494834144896588	Jhin	26.0
Ahri_Jinx	Ahri	0.0	0.43106266427181844	Jinx	27.0
Ahri_Kaisa	Ahri	0.0	0.4279893869280718	Kaisa	25.0
Akshan_Aphelios	Akshan	0.0	0.49178156042154664	Aphelios	22.0
Akshan_Caitlyn	Akshan	0.0	0.44373327301645804	Caitlyn	52.0
Akshan_Ezreal	Akshan	0.0	0.5014297844080892	Ezreal	47.0
Akshan_Jhin	Akshan	0.0	0.5216484318925492	Jhin	48.0
Akshan_Jinx	Akshan	0.0	0.42688644951859667	Jinx	34.0
Akshan_Kaisa	Akshan	-1.0	0.3846590500853547	Kaisa	38.0
Akshan_Lucian	Akshan	0.0	0.45220387756221997	Lucian	24.0
Akshan_MissFortune	Akshan	0.0	0.5115994610738086	MissFortune	26.0
Akshan_Smolder	Akshan	1.0	0.5926108109227961	Smolder	29.0
Akshan_Twitch	Akshan	0.0	0.4709994129256494	Twitch	22.0
Akshan_Vayne	Akshan	0.0	0.5125637079174439	Vayne	22.0
Akshan_Yunara	Akshan	0.0	0.4926927255535779	Yunara	28.0
Anivia_Aphelios	Anivia	0.0	0.49241059529075804	Aphelios	23.0
Anivia_Ashe	Anivia	0.0	0.46391735648609456	Ashe	43.0
Anivia_Caitlyn	Anivia	0.0	0.43990319718916426	Caitlyn	67.0
Anivia_Ezreal	Anivia	1.0	0.502497488077891	Ezreal	42.0
Anivia_Jhin	Anivia	0.0	0.4500411028224452	Jhin	45.0
Anivia_Jinx	Anivia	0.0	0.45968743169276644	Jinx	61.0
Anivia_Kaisa	Anivia	0.0	0.383470554262964	Kaisa	54.0
Anivia_Lucian	Anivia	-1.0	0.3497798260462985	Lucian	27.0
Anivia_MissFortune	Anivia	0.0	0.41013636866726894	MissFortune	32.0
Anivia_Samira	Anivia	-1.0	0.3072492787699818	Samira	24.0
Anivia_Smolder	Anivia	0.0	0.44169130411541185	Smolder	44.0
Anivia_Twitch	Anivia	0.0	0.4380681889791414	Twitch	24.0
Anivia_Vayne	Anivia	-1.0	0.3440554152984773	Vayne	22.0
Anivia_Yunara	Anivia	0.0	0.384434405683112	Yunara	33.0
Annie_Caitlyn	Annie	0.0	0.6705650641134484	Caitlyn	24.0
Annie_Ezreal	Annie	0.0	0.5989391483816989	Ezreal	23.0
Annie_Kaisa	Annie	0.0	0.45932148768748293	Kaisa	22.0
Aphelios_Akshan	Aphelios	-1.0	0.47573944123620365	Akshan	22.0
Aphelios_Anivia	Aphelios	-1.0	0.46697767084962644	Anivia	23.0
Aphelios_Ashe	Aphelios	-1.0	0.4561522989205735	Ashe	2855.0
Aphelios_AurelionSol	Aphelios	-1.0	0.451996285119661	AurelionSol	210.0
Aphelios_Brand	Aphelios	-1.0	0.46885785540160785	Brand	274.0
Aphelios_Caitlyn	Aphelios	-1.0	0.4750859782798548	Caitlyn	4493.0
Aphelios_Cassiopeia	Aphelios	1.0	0.5164477317329947	Cassiopeia	94.0
Aphelios_Corki	Aphelios	0.0	0.4904230280929399	Corki	853.0
Aphelios_Draven	Aphelios	-1.0	0.4437222307533369	Draven	1215.0
Aphelios_Ezreal	Aphelios	1.0	0.49903445912695155	Ezreal	5615.0
Aphelios_Heimerdinger	Aphelios	-1.0	0.464802058275729	Heimerdinger	41.0
Aphelios_Hwei	Aphelios	0.0	0.4778299965958625	Hwei	128.0
Aphelios_Jhin	Aphelios	1.0	0.4962003396265722	Jhin	3687.0
Aphelios_Jinx	Aphelios	-1.0	0.46767991455778785	Jinx	6091.0
Aphelios_Kaisa	Aphelios	1.0	0.5219671659750477	Kaisa	4404.0
Aphelios_Kalista	Aphelios	1.0	0.49578346065717677	Kalista	225.0
Aphelios_Karthus	Aphelios	-1.0	0.46533698528431366	Karthus	116.0
Aphelios_Katarina	Aphelios	-1.0	0.43702950464350726	Katarina	62.0
Aphelios_KogMaw	Aphelios	-1.0	0.4433809514076634	KogMaw	465.0
Aphelios_Lucian	Aphelios	1.0	0.5169640726616251	Lucian	2032.0
Aphelios_Lux	Aphelios	-1.0	0.44951301199083515	Lux	143.0
Aphelios_Malzahar	Aphelios	0.0	0.4879721308275034	Malzahar	26.0
Aphelios_Mel	Aphelios	-1.0	0.470965853172456	Mel	425.0
Aphelios_MissFortune	Aphelios	-1.0	0.46361333883472655	MissFortune	2261.0
Aphelios_Nilah	Aphelios	-1.0	0.44297790234497686	Nilah	373.0
Aphelios_Samira	Aphelios	-1.0	0.45194043042004817	Samira	1354.0
Aphelios_Senna	Aphelios	-1.0	0.46728044379296896	Senna	483.0
Aphelios_Seraphine	Aphelios	-1.0	0.4711164582548192	Seraphine	151.0
Aphelios_Sivir	Aphelios	1.0	0.5045502245322677	Sivir	1709.0
Aphelios_Smolder	Aphelios	1.0	0.49209517381680923	Smolder	2266.0
Aphelios_Swain	Aphelios	-1.0	0.4689352980412203	Swain	436.0
Aphelios_Syndra	Aphelios	-1.0	0.47197022759054885	Syndra	53.0
Aphelios_TahmKench	Aphelios	0.0	0.4776115076389447	TahmKench	36.0
Aphelios_Tristana	Aphelios	0.0	0.48716112739236034	Tristana	833.0
Aphelios_Twitch	Aphelios	-1.0	0.46012354840457537	Twitch	1273.0
Aphelios_Varus	Aphelios	0.0	0.4786346105071566	Varus	1168.0
Aphelios_Vayne	Aphelios	1.0	0.4981092537517149	Vayne	1474.0
Aphelios_Veigar	Aphelios	0.0	0.4831783321674699	Veigar	423.0
Aphelios_Velkoz	Aphelios	-1.0	0.45036100117053396	Velkoz	158.0
Aphelios_Viktor	Aphelios	0.0	0.47809446225840724	Viktor	40.0
Aphelios_Vladimir	Aphelios	-1.0	0.4765030642410255	Vladimir	70.0
Aphelios_Xayah	Aphelios	0.0	0.4794891028115739	Xayah	1564.0
Aphelios_Xerath	Aphelios	-1.0	0.4445110501199346	Xerath	117.0
Aphelios_Yasuo	Aphelios	-1.0	0.45904441931238665	Yasuo	320.0
Aphelios_Yunara	Aphelios	1.0	0.509524030240059	Yunara	2788.0
Aphelios_Zeri	Aphelios	0.0	0.4828856292274584	Zeri	647.0
Aphelios_Ziggs	Aphelios	-1.0	0.4401823439992782	Ziggs	424.0
Aphelios_Zyra	Aphelios	-1.0	0.45880559954164735	Zyra	26.0
Ashe_Anivia	Ashe	-1.0	0.5022566401512587	Anivia	43.0
Ashe_Aphelios	Ashe	1.0	0.543253233680372	Aphelios	2855.0
Ashe_AurelionSol	Ashe	-1.0	0.4477046274941768	AurelionSol	327.0
Ashe_Brand	Ashe	-1.0	0.4580352669792205	Brand	453.0
Ashe_Caitlyn	Ashe	0.0	0.520539127514932	Caitlyn	9177.0
Ashe_Cassiopeia	Ashe	-1.0	0.4971020164359798	Cassiopeia	155.0
Ashe_Chogath	Ashe	1.0	0.5254077793685359	Chogath	22.0
Ashe_Corki	Ashe	0.0	0.5188893224079659	Corki	1357.0
Ashe_Draven	Ashe	0.0	0.5160752432858853	Draven	1921.0
Ashe_Ezreal	Ashe	1.0	0.5208140030810611	Ezreal	9439.0
Ashe_Heimerdinger	Ashe	-1.0	0.4880845288546786	Heimerdinger	55.0
Ashe_Hwei	Ashe	-1.0	0.5047805776916233	Hwei	183.0
Ashe_Irelia	Ashe	-1.0	0.48925043878621516	Irelia	24.0
Ashe_Jhin	Ashe	0.0	0.5125764654387804	Jhin	7370.0
Ashe_Jinx	Ashe	-1.0	0.5002852136823149	Jinx	7961.0
Ashe_Kaisa	Ashe	1.0	0.5366275176064677	Kaisa	6609.0
Ashe_Kalista	Ashe	1.0	0.5291781998143377	Kalista	539.0
Ashe_Karthus	Ashe	-1.0	0.4462025378342225	Karthus	176.0
Ashe_Katarina	Ashe	-1.0	0.41649733224180113	Katarina	118.0
Ashe_KogMaw	Ashe	-1.0	0.46175082666614015	KogMaw	767.0
Ashe_Lucian	Ashe	1.0	0.5291470339280171	Lucian	3576.0
Ashe_Lux	Ashe	-1.0	0.4530263410893501	Lux	225.0
Ashe_Malzahar	Ashe	0.0	0.514025245498564	Malzahar	40.0
Ashe_MasterYi	Ashe	-1.0	0.484368901510647	MasterYi	21.0
Ashe_Mel	Ashe	1.0	0.5386980410443448	Mel	669.0
Ashe_MissFortune	Ashe	0.0	0.5114180281013224	MissFortune	3879.0
Ashe_Nilah	Ashe	-1.0	0.5068948102276362	Nilah	535.0
Ashe_Samira	Ashe	-1.0	0.4959758794097812	Samira	2075.0
Ashe_Senna	Ashe	-1.0	0.4827205166319335	Senna	734.0
Ashe_Seraphine	Ashe	-1.0	0.4888098600780959	Seraphine	243.0
Ashe_Sion	Ashe	-1.0	0.49387736023767026	Sion	27.0
Ashe_Sivir	Ashe	0.0	0.510894187626251	Sivir	3519.0
Ashe_Smolder	Ashe	0.0	0.5146347921596541	Smolder	3827.0
Ashe_Swain	Ashe	-1.0	0.5029168971630149	Swain	699.0
Ashe_Syndra	Ashe	1.0	0.5209872715563671	Syndra	69.0
Ashe_TahmKench	Ashe	-1.0	0.44780736970262114	TahmKench	50.0
Ashe_Tristana	Ashe	-1.0	0.4907306036042881	Tristana	1768.0
Ashe_TwistedFate	Ashe	1.0	0.5367049816557791	TwistedFate	29.0
Ashe_Twitch	Ashe	-1.0	0.5045057707565505	Twitch	2086.0
Ashe_Varus	Ashe	1.0	0.5388515720694296	Varus	2146.0
Ashe_Vayne	Ashe	-1.0	0.5094275124148707	Vayne	2383.0
Ashe_Veigar	Ashe	-1.0	0.48538134218900014	Veigar	610.0
