matchup	champ	delta	wr_corrected	opp	total
Aatrox_Ambessa	Aatrox	1.0	0.5811269373998463	Ambessa	169.0
Aatrox_Amumu	Aatrox	0.0	0.4969282072500548	Amumu	118.0
Aatrox_Belveth	Aatrox	-1.0	0.4592952466542385	Belveth	109.0
Aatrox_Briar	Aatrox	0.0	0.4837629568393497	Briar	278.0
Aatrox_Darius	Aatrox	-1.0	0.4772313104916549	Darius	48.0
Aatrox_Diana	Aatrox	-1.0	0.47225064614210926	Diana	208.0
Aatrox_DrMundo	Aatrox	1.0	0.5305276350405626	DrMundo	212.0
Aatrox_Ekko	Aatrox	0.0	0.5100617794676823	Ekko	178.0
Aatrox_Elise	Aatrox	0.0	0.4854894586329498	Elise	112.0
Aatrox_Evelynn	Aatrox	0.0	0.4873943370494143	Evelynn	99.0
Aatrox_Fiddlesticks	Aatrox	1.0	0.5393533022353109	Fiddlesticks	150.0
Aatrox_Fizz	Aatrox	0.0	0.5102490380304618	Fizz	76.0
Aatrox_Gragas	Aatrox	1.0	0.5461003882042477	Gragas	21.0
Aatrox_Graves	Aatrox	0.0	0.4963038028208315	Graves	493.0
Aatrox_Gwen	Aatrox	0.0	0.5165129211080293	Gwen	53.0
Aatrox_Hecarim	Aatrox	-1.0	0.47906253476943106	Hecarim	225.0
Aatrox_Ivern	Aatrox	-1.0	0.4803728892879569	Ivern	66.0
Aatrox_JarvanIV	Aatrox	-1.0	0.4609281397288694	JarvanIV	321.0
Aatrox_Jax	Aatrox	1.0	0.5316081075327703	Jax	76.0
Aatrox_Jayce	Aatrox	1.0	0.5788153747143877	Jayce	68.0
Aatrox_Karthus	Aatrox	1.0	0.537575698304898	Karthus	67.0
Aatrox_Kayn	Aatrox	0.0	0.5146375848423026	Kayn	273.0
Aatrox_Khazix	Aatrox	0.0	0.5050253322344068	Khazix	222.0
Aatrox_Kindred	Aatrox	-1.0	0.46978024645549143	Kindred	103.0
Aatrox_LeeSin	Aatrox	1.0	0.5176647818076785	LeeSin	385.0
Aatrox_Lillia	Aatrox	-1.0	0.4615170598518618	Lillia	145.0
Aatrox_Malphite	Aatrox	-1.0	0.4776291712883154	Malphite	50.0
Aatrox_Maokai	Aatrox	1.0	0.5328602766339338	Maokai	25.0
Aatrox_MasterYi	Aatrox	0.0	0.482900102608367	MasterYi	173.0
Aatrox_Naafiri	Aatrox	1.0	0.5273137850804029	Naafiri	153.0
Aatrox_Nasus	Aatrox	0.0	0.48456066044918544	Nasus	69.0
Aatrox_Nidalee	Aatrox	0.0	0.49957254661482847	Nidalee	77.0
Aatrox_Nocturne	Aatrox	0.0	0.49484181501181246	Nocturne	335.0
Aatrox_Nunu	Aatrox	0.0	0.4933443008226829	Nunu	170.0
Aatrox_Pantheon	Aatrox	-1.0	0.4587122116070225	Pantheon	46.0
Aatrox_Qiyana	Aatrox	-1.0	0.47598797782468716	Qiyana	63.0
Aatrox_Rammus	Aatrox	1.0	0.5341216521063235	Rammus	51.0
Aatrox_RekSai	Aatrox	1.0	0.5184469393250541	RekSai	122.0
Aatrox_Rengar	Aatrox	1.0	0.5194887593132975	Rengar	189.0
