y	x	lower_error	upper_error	champ
0	0.3712374581939799	0.08716755078066107	0.09198366753342241	Graves
1	0.3888888888888889	0.16442297375945192	0.19147007720585835	Rakan
2	0.40858018386108275	0.05031786343010258	0.05123254755695872	Lucian
3	0.4153846153846154	0.11453202384033417	0.13154805588763768	MissFortune
4	0.4156088387400094	0.03456075015641924	0.03496983457380126	Ezreal
5	0.4166666666666667	0.11709325503582096	0.1207358496234548	Caitlyn
6	0.41974317817014445	0.04514302181668278	0.045894641069203435	Kaisa
7	0.42356959863364646	0.03288223119536138	0.03347477588982706	Corki
8	0.43157894736842106	0.132321980003627	0.15171059383814245	Pyke
9	0.4319212333203783	0.013088856153378126	0.013104211003017063	Azir
10	0.4370179948586118	0.07568573877952228	0.08084927334684278	Teemo
11	0.4396551724137931	0.1299039752500432	0.13797326455202646	JarvanIV
12	0.4421768707482993	0.07424664810614018	0.07577341285090994	Jhin
13	0.44933456318355514	0.018766726510401732	0.01870059172098154	Smolder
14	0.45121951219512196	0.14296406454077126	0.15021703473604536	Vi
15	0.4523809523809524	0.0995216414860855	0.10190585408632274	Urgot
16	0.4528301886792453	0.1318585278866406	0.14079361056314432	Ashe
17	0.4528301886792453	0.18421307325906727	0.1858822930977666	Nidalee
18	0.4589285714285714	0.06683772764432011	0.06741123448297376	XinZhao
19	0.459228515625	0.025381255180860818	0.025612042431594872	Tristana
20	0.4603421461897356	0.06217675997797967	0.06318327637328053	Yorick
21	0.4666666666666667	0.12423153962221362	0.13344445294086638	TahmKench
22	0.4675324675324675	0.044344125278191704	0.04441689301021817	Seraphine
23	0.4683673469387755	0.05103940400553536	0.05217658971823241	Gwen
24	0.4704370179948586	0.08016284321617939	0.08247076199669923	LeeSin
25	0.4706582077716098	0.032208426274594804	0.03199527086781673	Varus
26	0.4710261320812998	0.009109100594978159	0.009131614190793835	Ryze
27	0.4722222222222222	0.09785109402402192	0.10103729902523617	Wukong
28	0.4732142857142857	0.0676682502706758	0.06832816344645598	DrMundo
29	0.47368421052631576	0.17453874646293693	0.18350518928151932	Draven
30	0.4749560632688928	0.00808603841390293	0.008135589008191002	Orianna
31	0.47794871794871796	0.051275672738347544	0.0520666585360009	Twitch
32	0.4801536491677337	0.056885171067772966	0.057371088183853114	MasterYi
33	0.4810300766660114	0.013247524901572827	0.013284403799141087	Taliyah
34	0.48196768313911814	0.007426107430620887	0.007444852401337798	Mel
35	0.48203219274742803	0.007417920743015671	0.007442599590129051	Yone
36	0.4831591173054588	0.0545084888792548	0.054939953657782814	Aatrox
37	0.4844890510948905	0.04851645315487896	0.049085636479899386	Vayne
38	0.48513760815876905	0.00692823846804802	0.006927746969686677	Sylas
39	0.48537378114842905	0.05375080587797615	0.05314453922841894	Mordekaiser
40	0.4897435897435897	0.05758420105341894	0.05784240237066679	Zyra
41	0.48996260578626255	0.011552598101866707	0.01149664203798112	Irelia
42	0.49020442930153324	0.033600445884355123	0.033548263451077254	Gangplank
43	0.49027653880463873	0.008929835919028739	0.008993004294038265	Aurora
44	0.4915254237288136	0.04681289425690366	0.04399907515515589	Kalista
45	0.4919039642657733	0.03828416197973156	0.03859472571979372	Karma
46	0.49276817999196465	0.016408070600825164	0.01644618366394257	Cassiopeia
47	0.49336917562724014	0.022027937501700345	0.02176625667773191	Jayce
48	0.49414316702819955	0.03380660964104759	0.0340385458404609	Viego
49	0.49469177077834475	0.00890101752935124	0.008904932691617906	Galio
50	0.49476206135199885	0.011245253824006984	0.011270823721094003	Vladimir
51	0.4948186528497409	0.08116250688952237	0.08080922405870627	Zaahen
52	0.4952675646159447	0.02211935460626896	0.02197379238536823	Chogath
53	0.49587329913004685	0.006805469508374795	0.006816336316461169	Akali
54	0.49593908629441624	0.03671814423720732	0.03672912784217536	Heimerdinger
55	0.4959839357429719	0.051625675701230445	0.05145824938508664	Karthus
56	0.4960251046025105	0.02355894758940119	0.023714098025427677	KogMaw
57	0.49692329505175103	0.006192356259538345	0.006193236326659468	Yasuo
58	0.4970653302632173	0.007798696070522804	0.007822620668043734	Syndra
59	0.4975124378109453	0.10996305508486626	0.1094533642309064	Sejuani
60	0.4978081183281464	0.009481757406304692	0.009526411219578867	Hwei
61	0.49782713664896183	0.035385098378337865	0.03578445378718198	Briar
62	0.49842656695420384	0.009988787322602555	0.010013703745281433	Lux
63	0.498812351543943	0.07686403217376153	0.07592671368152248	KSante
64	0.49974633085703934	0.006988598281458314	0.007010198805157741	Zed
65	0.5	0.11201323921658335	0.1170500855592117	Nocturne
66	0.5004317789291882	0.0336648079470348	0.03373068958996839	Ambessa
67	0.5011572288227125	0.010216202459452761	0.010191790533105927	Kassadin
68	0.5017862942513803	0.02070878374607471	0.020967412283372955	Ziggs
69	0.5021638776687825	0.01970793637390117	0.01971975743623222	Malphite
70	0.5022591380103352	0.008514719767475531	0.008584187621702544	Leblanc
71	0.5024630541871922	0.007170703019536373	0.007172332506518386	Malzahar
72	0.5030911328223451	0.006314825522545697	0.006347164473470168	Viktor
73	0.5031285337353939	0.010089331888914255	0.010093888694262088	Ekko
74	0.5032	0.03266313822285116	0.03249348634247695	Gragas
75	0.5040931320433766	0.011955186837547482	0.011985163689982148	Qiyana
76	0.5040958337003435	0.010927562061173679	0.010866287571822064	Lissandra
77	0.5044404973357016	0.04848543318993742	0.04834858004820164	Rumble
78	0.5047908389810704	0.017710156012915035	0.017702745279184473	Swain
79	0.5049294593436084	0.007090762425539188	0.0071035472443121694	Katarina
80	0.5055543454585057	0.024232081806060957	0.02408544408656399	Nasus
81	0.5061242836273738	0.017296218239374717	0.01739761597460099	Brand
82	0.5062081312081312	0.00882657089270783	0.008839977840636504	Fizz
83	0.506522855675398	0.00962545148054983	0.009608118349373918	Zoe
84	0.5065359477124183	0.06457360507610144	0.0653017709311089	Shen
