matchup	champ	delta	wr_corrected	opp	total
Aatrox_Ahri	Aatrox	0.0	0.4845547514005075	Ahri	95.0
Aatrox_Akali	Aatrox	0.0	0.5106967121096161	Akali	53.0
Aatrox_Anivia	Aatrox	0.0	0.48268535954177383	Anivia	23.0
Aatrox_Aurora	Aatrox	0.0	0.459679711989059	Aurora	26.0
Aatrox_Diana	Aatrox	0.0	0.4690962704417843	Diana	29.0
Aatrox_Galio	Aatrox	0.0	0.4559185375302124	Galio	66.0
Aatrox_Kassadin	Aatrox	0.0	0.4994731945949214	Kassadin	35.0
Aatrox_Katarina	Aatrox	0.0	0.4859636051197619	Katarina	37.0
Aatrox_Malzahar	Aatrox	0.0	0.47631941422754875	Malzahar	28.0
Aatrox_Mel	Aatrox	0.0	0.5218408012170647	Mel	30.0
Aatrox_Orianna	Aatrox	0.0	0.523991068231249	Orianna	24.0
Aatrox_Ryze	Aatrox	-1.0	0.42553923064461424	Ryze	24.0
Aatrox_Sylas	Aatrox	0.0	0.4838019437322936	Sylas	58.0
Aatrox_Syndra	Aatrox	0.0	0.5150460907890254	Syndra	27.0
Aatrox_TwistedFate	Aatrox	0.0	0.461999411350635	TwistedFate	43.0
Aatrox_Veigar	Aatrox	1.0	0.5417705020571697	Veigar	22.0
Aatrox_Viktor	Aatrox	0.0	0.4738208326391447	Viktor	60.0
Aatrox_Xerath	Aatrox	-1.0	0.41113351779923507	Xerath	31.0
Aatrox_Yasuo	Aatrox	0.0	0.46960382523755795	Yasuo	63.0
Aatrox_Yone	Aatrox	1.0	0.5674803965005069	Yone	44.0
Aatrox_Zed	Aatrox	0.0	0.461999411350635	Zed	43.0
Ahri_Aatrox	Ahri	1.0	0.5263481965627688	Aatrox	95.0
Ahri_Akali	Ahri	1.0	0.5249173365894939	Akali	4359.0
Ahri_Akshan	Ahri	-1.0	0.4937398714582847	Akshan	2229.0
Ahri_Ambessa	Ahri	1.0	0.5631801425184639	Ambessa	192.0
Ahri_Anivia	Ahri	-1.0	0.50628387849926	Anivia	2557.0
Ahri_Annie	Ahri	-1.0	0.49724579802235397	Annie	2261.0
Ahri_Ashe	Ahri	1.0	0.5608501133234682	Ashe	38.0
Ahri_AurelionSol	Ahri	1.0	0.5374329349100299	AurelionSol	2034.0
Ahri_Aurora	Ahri	1.0	0.5248840207475844	Aurora	3300.0
Ahri_Azir	Ahri	1.0	0.6102335744442645	Azir	1374.0
Ahri_Brand	Ahri	-1.0	0.503729258620863	Brand	742.0
Ahri_Briar	Ahri	1.0	0.5970711738259941	Briar	175.0
Ahri_Caitlyn	Ahri	0.0	0.5201430750939006	Caitlyn	49.0
Ahri_Camille	Ahri	1.0	0.5211419950264926	Camille	43.0
Ahri_Cassiopeia	Ahri	-1.0	0.5074778025394698	Cassiopeia	799.0
Ahri_Chogath	Ahri	1.0	0.532027659106945	Chogath	439.0
Ahri_Corki	Ahri	1.0	0.5961582392310333	Corki	219.0
Ahri_Diana	Ahri	0.0	0.5200219506490326	Diana	2572.0
Ahri_DrMundo	Ahri	1.0	0.53649607435829	DrMundo	88.0
Ahri_Draven	Ahri	1.0	0.5773753294199293	Draven	52.0
Ahri_Ekko	Ahri	0.0	0.5128588869549835	Ekko	2104.0
Ahri_Elise	Ahri	1.0	0.5345468655308944	Elise	25.0
Ahri_Ezreal	Ahri	1.0	0.5817689382851231	Ezreal	204.0
Ahri_Fiddlesticks	Ahri	-1.0	0.5003763351473428	Fiddlesticks	76.0
Ahri_Fiora	Ahri	1.0	0.5338887618486199	Fiora	27.0
Ahri_Fizz	Ahri	-1.0	0.5011136065655719	Fizz	2668.0
Ahri_Galio	Ahri	1.0	0.5537873871683523	Galio	2591.0
Ahri_Gangplank	Ahri	-1.0	0.5002336857325012	Gangplank	170.0
Ahri_Garen	Ahri	1.0	0.5337527466953325	Garen	220.0
Ahri_Gnar	Ahri	1.0	0.5345468655308944	Gnar	25.0
Ahri_Gragas	Ahri	-1.0	0.5002146439059928	Gragas	192.0
Ahri_Graves	Ahri	1.0	0.5534737344089284	Graves	54.0
Ahri_Gwen	Ahri	1.0	0.5700528073129297	Gwen	87.0
Ahri_Heimerdinger	Ahri	0.0	0.5148106297705118	Heimerdinger	196.0
Ahri_Hwei	Ahri	1.0	0.5402257567901647	Hwei	2484.0
Ahri_Irelia	Ahri	1.0	0.5217737869372806	Irelia	1601.0
