matchup	champ	delta	wr_corrected	opp	total
Aatrox_Karma	Aatrox	0.0	0.37750678155694317	Karma	22.0
Aatrox_Lulu	Aatrox	0.0	0.3934233237742485	Lulu	26.0
Aatrox_Nami	Aatrox	0.0	0.4104040829329031	Nami	27.0
Aatrox_Thresh	Aatrox	0.0	0.40846920817137705	Thresh	25.0
Ahri_Bard	Ahri	0.0	0.44133135003001656	Bard	28.0
Ahri_Braum	Ahri	1.0	0.5266002029513718	Braum	22.0
Ahri_Karma	Ahri	-1.0	0.35007050590424077	Karma	55.0
Ahri_Leona	Ahri	0.0	0.44605146017917563	Leona	23.0
Ahri_Lulu	Ahri	0.0	0.4513120349823525	Lulu	38.0
Ahri_Lux	Ahri	0.0	0.4434690899231734	Lux	21.0
Ahri_Milio	Ahri	0.0	0.5152700209005133	Milio	21.0
Ahri_Nami	Ahri	1.0	0.5264664146446485	Nami	60.0
Ahri_Nautilus	Ahri	-1.0	0.32698938260579047	Nautilus	42.0
Ahri_Senna	Ahri	0.0	0.4848194452359131	Senna	36.0
Ahri_Seraphine	Ahri	0.0	0.43748887433951683	Seraphine	33.0
Ahri_Soraka	Ahri	1.0	0.5670771294755736	Soraka	26.0
Ahri_Thresh	Ahri	0.0	0.4316112342823492	Thresh	43.0
Ahri_Yuumi	Ahri	0.0	0.42656565230440346	Yuumi	25.0
Alistar_Amumu	Alistar	-1.0	0.4805852952144378	Amumu	120.0
Alistar_Anivia	Alistar	-1.0	0.47049216351905426	Anivia	105.0
Alistar_Annie	Alistar	1.0	0.5341528043949219	Annie	67.0
Alistar_Ashe	Alistar	1.0	0.527961481091751	Ashe	80.0
Alistar_Bard	Alistar	-1.0	0.4815817739689037	Bard	1162.0
Alistar_Blitzcrank	Alistar	1.0	0.5181456399916086	Blitzcrank	1430.0
Alistar_Brand	Alistar	-1.0	0.4530139063086856	Brand	454.0
Alistar_Braum	Alistar	1.0	0.5074159878188438	Braum	1716.0
Alistar_Camille	Alistar	-1.0	0.4805172045223696	Camille	68.0
Alistar_Elise	Alistar	-1.0	0.462477838502518	Elise	227.0
Alistar_Ezreal	Alistar	1.0	0.5370565673117247	Ezreal	191.0
Alistar_Fiddlesticks	Alistar	1.0	0.5433019844625505	Fiddlesticks	153.0
Alistar_Galio	Alistar	1.0	0.5225246274958717	Galio	139.0
Alistar_Gragas	Alistar	-1.0	0.45345231607737807	Gragas	83.0
Alistar_Heimerdinger	Alistar	1.0	0.5067266345415233	Heimerdinger	41.0
Alistar_Hwei	Alistar	-1.0	0.4319935830413771	Hwei	56.0
Alistar_Ivern	Alistar	-1.0	0.48062918336000315	Ivern	43.0
Alistar_Janna	Alistar	-1.0	0.45605819841234857	Janna	957.0
Alistar_JarvanIV	Alistar	1.0	0.5168311053771123	JarvanIV	62.0
Alistar_KSante	Alistar	1.0	0.5133722469181645	KSante	22.0
Alistar_Karma	Alistar	-1.0	0.4817753844928839	Karma	1861.0
Alistar_Kennen	Alistar	1.0	0.5170414506289362	Kennen	31.0
Alistar_Leblanc	Alistar	0.0	0.4962879198573366	Leblanc	126.0
Alistar_LeeSin	Alistar	0.0	0.49757119533146377	LeeSin	25.0
Alistar_Leona	Alistar	-1.0	0.48313717283426005	Leona	2284.0
Alistar_Lissandra	Alistar	1.0	0.5216644236286309	Lissandra	32.0
Alistar_Lulu	Alistar	1.0	0.5067345131615449	Lulu	1600.0
Alistar_Lux	Alistar	1.0	0.5050078778161701	Lux	679.0
Alistar_Malphite	Alistar	1.0	0.517895781863487	Malphite	54.0
Alistar_Maokai	Alistar	0.0	0.49024701543326543	Maokai	567.0
Alistar_Mel	Alistar	1.0	0.5205666185911927	Mel	305.0
Alistar_Milio	Alistar	-1.0	0.48385158602478096	Milio	933.0
Alistar_Morgana	Alistar	0.0	0.4910999379707189	Morgana	853.0
Alistar_Nami	Alistar	-1.0	0.47824933613887716	Nami	2605.0
Alistar_Nautilus	Alistar	1.0	0.5267035966627568	Nautilus	2746.0
Alistar_Neeko	Alistar	1.0	0.5241823330538293	Neeko	476.0
Alistar_Nidalee	Alistar	-1.0	0.46298323794735047	Nidalee	69.0
Alistar_Orianna	Alistar	1.0	0.5081659601199757	Orianna	21.0
Alistar_Pantheon	Alistar	0.0	0.5023909691177977	Pantheon	665.0
Alistar_Poppy	Alistar	-1.0	0.4868954674393945	Poppy	785.0
Alistar_Pyke	Alistar	0.0	0.499080816021354	Pyke	1273.0
Alistar_Rakan	Alistar	-1.0	0.47147181046560527	Rakan	1040.0
Alistar_Rammus	Alistar	-1.0	0.472207225915375	Rammus	26.0
Alistar_Rell	Alistar	0.0	0.500258492060196	Rell	946.0
Alistar_Renata	Alistar	0.0	0.4937632835692516	Renata	206.0
Alistar_Rengar	Alistar	1.0	0.5280182627656043	Rengar	44.0
Alistar_Senna	Alistar	0.0	0.50028663585037	Senna	846.0
Alistar_Seraphine	Alistar	-1.0	0.473362167322141	Seraphine	706.0
Alistar_Sett	Alistar	1.0	0.5356811677841978	Sett	33.0
Alistar_Shaco	Alistar	1.0	0.5224716558228971	Shaco	273.0
Alistar_Shen	Alistar	1.0	0.5082600476058634	Shen	141.0
Alistar_Sion	Alistar	-1.0	0.4844096648469873	Sion	71.0
Alistar_Skarner	Alistar	1.0	0.5545590008603948	Skarner	24.0
Alistar_Sona	Alistar	-1.0	0.4688889888480709	Sona	803.0
Alistar_Soraka	Alistar	0.0	0.49333298694456845	Soraka	713.0
Alistar_Swain	Alistar	-1.0	0.4854501563605449	Swain	528.0
Alistar_Sylas	Alistar	1.0	0.5527844979677969	Sylas	283.0
Alistar_TahmKench	Alistar	0.0	0.4946387882284631	TahmKench	438.0
Alistar_Taliyah	Alistar	-1.0	0.47751331541262715	Taliyah	27.0
Alistar_Taric	Alistar	-1.0	0.4626064210666455	Taric	335.0
Alistar_Teemo	Alistar	-1.0	0.45345231607737807	Teemo	83.0
Alistar_Thresh	Alistar	0.0	0.49299733929326933	Thresh	3103.0
Alistar_Trundle	Alistar	1.0	0.5485231153476673	Trundle	36.0
Alistar_TwistedFate	Alistar	1.0	0.5234610104001757	TwistedFate	24.0
Alistar_Twitch	Alistar	1.0	0.5547769253677629	Twitch	51.0
Alistar_Veigar	Alistar	1.0	0.505895347206876	Veigar	57.0
Alistar_Velkoz	Alistar	-1.0	0.4722194385073128	Velkoz	458.0
Alistar_Xerath	Alistar	0.0	0.49195483073153956	Xerath	392.0
Alistar_Yuumi	Alistar	1.0	0.5512657934212215	Yuumi	986.0
Alistar_Zac	Alistar	1.0	0.5385582050376224	Zac	77.0
Alistar_Zilean	Alistar	-1.0	0.48614653590700535	Zilean	486.0
Alistar_Zoe	Alistar	1.0	0.540812449174364	Zoe	130.0
Alistar_Zyra	Alistar	1.0	0.5059497705314239	Zyra	476.0
Amumu_Alistar	Amumu	0.0	0.5256452853023	Alistar	120.0
Amumu_Bard	Amumu	0.0	0.5027407036266796	Bard	171.0
Amumu_Blitzcrank	Amumu	0.0	0.5277400550103926	Blitzcrank	108.0
Amumu_Brand	Amumu	1.0	0.5438627196162199	Brand	54.0
Amumu_Braum	Amumu	1.0	0.5328912485619834	Braum	161.0
Amumu_Ezreal	Amumu	1.0	0.5970410756137887	Ezreal	34.0
Amumu_Janna	Amumu	1.0	0.540631546893795	Janna	86.0
Amumu_Karma	Amumu	0.0	0.4854830559828454	Karma	197.0
Amumu_Leona	Amumu	0.0	0.5173633892149552	Leona	167.0
Amumu_Lulu	Amumu	0.0	0.5159871954911256	Lulu	216.0
Amumu_Lux	Amumu	0.0	0.5109464105463255	Lux	105.0
Amumu_Maokai	Amumu	0.0	0.5223366005830008	Maokai	54.0
Amumu_Mel	Amumu	1.0	0.5516446874412807	Mel	40.0
Amumu_Milio	Amumu	0.0	0.48586490546626054	Milio	168.0
Amumu_Morgana	Amumu	0.0	0.48551883020955167	Morgana	94.0
Amumu_Nami	Amumu	0.0	0.4976100464498904	Nami	348.0
Amumu_Nautilus	Amumu	0.0	0.5003503886174576	Nautilus	176.0
Amumu_Neeko	Amumu	0.0	0.4837937480008261	Neeko	49.0
Amumu_Pantheon	Amumu	1.0	0.5438627196162199	Pantheon	54.0
Amumu_Poppy	Amumu	0.0	0.500846944401797	Poppy	50.0
Amumu_Pyke	Amumu	0.0	0.5215495983539811	Pyke	127.0
Amumu_Rakan	Amumu	-1.0	0.43575211912251494	Rakan	100.0
Amumu_Rell	Amumu	-1.0	0.4388641592217037	Rell	58.0
Amumu_Renata	Amumu	1.0	0.5488838554764374	Renata	24.0
Amumu_Senna	Amumu	0.0	0.5238495962787706	Senna	111.0
Amumu_Seraphine	Amumu	1.0	0.5505322040820444	Seraphine	111.0
Amumu_Shaco	Amumu	-1.0	0.4598864021860061	Shaco	34.0
Amumu_Sona	Amumu	0.0	0.5135720157720831	Sona	114.0
Amumu_Soraka	Amumu	-1.0	0.4553562596485839	Soraka	105.0
Amumu_Swain	Amumu	1.0	0.5715324500617476	Swain	60.0
Amumu_Sylas	Amumu	-1.0	0.4209095257899762	Sylas	36.0
Amumu_TahmKench	Amumu	0.0	0.5143545138259176	TahmKench	36.0
Amumu_Taric	Amumu	-1.0	0.43076715357400935	Taric	25.0
Amumu_Thresh	Amumu	0.0	0.49867244744848505	Thresh	281.0
Amumu_Velkoz	Amumu	-1.0	0.4382928664536349	Velkoz	49.0
Amumu_Xerath	Amumu	-1.0	0.4766654906056795	Xerath	65.0
Amumu_Yuumi	Amumu	1.0	0.5320584774905112	Yuumi	135.0
Amumu_Zilean	Amumu	0.0	0.4862891678069446	Zilean	65.0
Amumu_Zyra	Amumu	-1.0	0.4156774556059375	Zyra	61.0
Anivia_Alistar	Anivia	1.0	0.5343268196366938	Alistar	105.0
Anivia_Bard	Anivia	1.0	0.5322959945147858	Bard	192.0
Anivia_Blitzcrank	Anivia	1.0	0.5529190596631812	Blitzcrank	127.0
Anivia_Brand	Anivia	0.0	0.4920818080615142	Brand	49.0
Anivia_Braum	Anivia	-1.0	0.4574616911521575	Braum	135.0
Anivia_Elise	Anivia	1.0	0.6045878586763589	Elise	36.0
Anivia_Ezreal	Anivia	0.0	0.4769447361620478	Ezreal	29.0
Anivia_Janna	Anivia	0.0	0.4720178089076707	Janna	87.0
Anivia_Karma	Anivia	0.0	0.4851091047369425	Karma	306.0
Anivia_Leblanc	Anivia	0.0	0.5034395762799463	Leblanc	21.0
Anivia_Leona	Anivia	0.0	0.46967204113195177	Leona	192.0
Anivia_Lulu	Anivia	0.0	0.5090130868337388	Lulu	256.0
Anivia_Lux	Anivia	1.0	0.5446781668196677	Lux	148.0
Anivia_Maokai	Anivia	-1.0	0.4593158092365534	Maokai	45.0
Anivia_Mel	Anivia	1.0	0.530557922575816	Mel	42.0
Anivia_Milio	Anivia	0.0	0.5039231941521409	Milio	140.0
Anivia_Morgana	Anivia	0.0	0.4837713399041913	Morgana	92.0
Anivia_Nami	Anivia	0.0	0.471155744217385	Nami	395.0
Anivia_Nautilus	Anivia	-1.0	0.4598582612574937	Nautilus	258.0
Anivia_Neeko	Anivia	1.0	0.5312545329067165	Neeko	72.0
Anivia_Pantheon	Anivia	0.0	0.5106045676298401	Pantheon	69.0
Anivia_Poppy	Anivia	0.0	0.47960931567021886	Poppy	39.0
Anivia_Pyke	Anivia	-1.0	0.4362454645870767	Pyke	137.0
Anivia_Rakan	Anivia	0.0	0.5013202458042889	Rakan	131.0
Anivia_Rell	Anivia	-1.0	0.46491006350171243	Rell	74.0
Anivia_Renata	Anivia	-1.0	0.4596599089819238	Renata	21.0
Anivia_Senna	Anivia	1.0	0.5503425949435327	Senna	126.0
Anivia_Seraphine	Anivia	0.0	0.511493110281981	Seraphine	147.0
Anivia_Shaco	Anivia	1.0	0.5412059653926837	Shaco	31.0
Anivia_Sona	Anivia	-1.0	0.4410255830090156	Sona	135.0
Anivia_Soraka	Anivia	0.0	0.47867551906002853	Soraka	129.0
Anivia_Swain	Anivia	1.0	0.5329063916307294	Swain	66.0
Anivia_TahmKench	Anivia	0.0	0.4974953492873474	TahmKench	58.0
Anivia_Taric	Anivia	-1.0	0.4618848031639012	Taric	25.0
Anivia_Thresh	Anivia	-1.0	0.45154470555409926	Thresh	381.0
Anivia_Velkoz	Anivia	0.0	0.48403706139298946	Velkoz	63.0
Anivia_Xerath	Anivia	-1.0	0.41761817025047804	Xerath	71.0
Anivia_Yuumi	Anivia	0.0	0.5102385915283445	Yuumi	122.0
Anivia_Zilean	Anivia	1.0	0.5247898700970034	Zilean	83.0
Anivia_Zoe	Anivia	0.0	0.49619844204444535	Zoe	22.0
Anivia_Zyra	Anivia	-1.0	0.42158758308145533	Zyra	77.0
Annie_Alistar	Annie	-1.0	0.4625545674817272	Alistar	67.0
Annie_Bard	Annie	0.0	0.5115548137979021	Bard	121.0
Annie_Blitzcrank	Annie	0.0	0.4719665819151788	Blitzcrank	86.0
Annie_Brand	Annie	0.0	0.4987927394409176	Brand	47.0
Annie_Braum	Annie	0.0	0.48689390281546735	Braum	80.0
Annie_Ezreal	Annie	1.0	0.5744384772933784	Ezreal	23.0
Annie_Janna	Annie	0.0	0.5128013328410125	Janna	66.0
Annie_Karma	Annie	0.0	0.5183972494765147	Karma	196.0
Annie_Leona	Annie	1.0	0.5335703682653093	Leona	103.0
Annie_Lulu	Annie	0.0	0.5083072915041612	Lulu	185.0
Annie_Lux	Annie	0.0	0.5029965382989704	Lux	88.0
Annie_Maokai	Annie	-1.0	0.4653533481147428	Maokai	47.0
Annie_Mel	Annie	0.0	0.498736400789617	Mel	43.0
Annie_Milio	Annie	-1.0	0.4017694726003261	Milio	106.0
Annie_Morgana	Annie	0.0	0.5077059552802661	Morgana	73.0
Annie_Nami	Annie	0.0	0.48881888399076984	Nami	280.0
Annie_Nautilus	Annie	1.0	0.5357648053922367	Nautilus	136.0
Annie_Neeko	Annie	1.0	0.5570695531451147	Neeko	43.0
Annie_Pantheon	Annie	1.0	0.5587795959920414	Pantheon	32.0
Annie_Poppy	Annie	1.0	0.5513995140411354	Poppy	33.0
Annie_Pyke	Annie	0.0	0.4721763298147469	Pyke	69.0
Annie_Rakan	Annie	0.0	0.5034144853867407	Rakan	72.0
Annie_Rell	Annie	1.0	0.5329670631167154	Rell	45.0
Annie_Renata	Annie	0.0	0.5296900960845549	Renata	21.0
Annie_Senna	Annie	0.0	0.5106467959591955	Senna	88.0
Annie_Seraphine	Annie	0.0	0.4910414027689932	Seraphine	81.0
Annie_Shaco	Annie	-1.0	0.46090344946361805	Shaco	24.0
Annie_Sona	Annie	-1.0	0.4312799561850424	Sona	68.0
Annie_Soraka	Annie	0.0	0.4859799056287484	Soraka	72.0
Annie_Swain	Annie	1.0	0.5864546186146992	Swain	37.0
Annie_TahmKench	Annie	0.0	0.4906001227801045	TahmKench	22.0
Annie_Taric	Annie	0.0	0.5215050730465056	Taric	22.0
Annie_Thresh	Annie	0.0	0.5213688074319817	Thresh	233.0
Annie_Velkoz	Annie	1.0	0.5453953224064186	Velkoz	32.0
Annie_Xerath	Annie	0.0	0.4935774510967032	Xerath	52.0
Annie_Yuumi	Annie	1.0	0.5590189404469015	Yuumi	91.0
Annie_Zilean	Annie	-1.0	0.4542438628315992	Zilean	58.0
Annie_Zyra	Annie	0.0	0.49876521241064753	Zyra	45.0
Ashe_Alistar	Ashe	0.0	0.4568346586316	Alistar	80.0
Ashe_Bard	Ashe	0.0	0.44046909289092107	Bard	194.0
Ashe_Blitzcrank	Ashe	0.0	0.4392280424519438	Blitzcrank	156.0
Ashe_Brand	Ashe	1.0	0.49330788183448926	Brand	70.0
Ashe_Braum	Ashe	0.0	0.4393696475048108	Braum	140.0
Ashe_Elise	Ashe	-1.0	0.4233832685129121	Elise	34.0
Ashe_Ezreal	Ashe	1.0	0.485085835233154	Ezreal	68.0
Ashe_Janna	Ashe	0.0	0.4605303315554462	Janna	118.0
Ashe_Karma	Ashe	0.0	0.44979853996443014	Karma	320.0
Ashe_Leona	Ashe	0.0	0.47518320790011637	Leona	180.0
Ashe_Lulu	Ashe	0.0	0.4376785970102026	Lulu	239.0
Ashe_Lux	Ashe	1.0	0.48537493360350126	Lux	173.0
Ashe_Maokai	Ashe	1.0	0.4840505972411226	Maokai	60.0
Ashe_Mel	Ashe	0.0	0.47303424322872456	Mel	50.0
Ashe_Milio	Ashe	1.0	0.4910841441205951	Milio	207.0
Ashe_Morgana	Ashe	-1.0	0.4116300832381481	Morgana	107.0
Ashe_Nami	Ashe	-1.0	0.4190417997304654	Nami	548.0
Ashe_Nautilus	Ashe	-1.0	0.3901876290656088	Nautilus	262.0
Ashe_Neeko	Ashe	1.0	0.4830874019725133	Neeko	83.0
Ashe_Pantheon	Ashe	0.0	0.4399748255589133	Pantheon	67.0
Ashe_Poppy	Ashe	1.0	0.5136278029802108	Poppy	30.0
Ashe_Pyke	Ashe	1.0	0.4776671532811747	Pyke	139.0
Ashe_Rakan	Ashe	1.0	0.5098768377787805	Rakan	113.0
Ashe_Rell	Ashe	1.0	0.5490422518964851	Rell	50.0
Ashe_Renata	Ashe	0.0	0.43739332718312757	Renata	38.0
Ashe_Senna	Ashe	1.0	0.48183117594780966	Senna	156.0
Ashe_Seraphine	Ashe	0.0	0.4602630189832338	Seraphine	142.0
Ashe_Shaco	Ashe	0.0	0.4695641959405874	Shaco	38.0
Ashe_Shen	Ashe	0.0	0.44188490663018837	Shen	28.0
Ashe_Sona	Ashe	-1.0	0.39831043742750966	Sona	130.0
Ashe_Soraka	Ashe	-1.0	0.425820438945808	Soraka	165.0
Ashe_Swain	Ashe	1.0	0.5281131690347958	Swain	75.0
Ashe_Sylas	Ashe	0.0	0.4722475457057731	Sylas	29.0
Ashe_TahmKench	Ashe	0.0	0.44452440281705136	TahmKench	59.0
Ashe_Taric	Ashe	0.0	0.4549781984365774	Taric	30.0
