matchup	champ	delta	wr_corrected	opp	total
Aatrox_Ahri	Aatrox	-1.0	0.46656688268845736	Ahri	23.0
Aatrox_Akali	Aatrox	1.0	0.5420204409882438	Akali	706.0
Aatrox_Akshan	Aatrox	1.0	0.5394850918911548	Akshan	33.0
Aatrox_Ambessa	Aatrox	0.0	0.5010696860025372	Ambessa	1283.0
Aatrox_Anivia	Aatrox	0.0	0.4972178807790577	Anivia	151.0
Aatrox_Annie	Aatrox	1.0	0.5181317149979341	Annie	25.0
Aatrox_AurelionSol	Aatrox	1.0	0.505452460423372	AurelionSol	25.0
Aatrox_Aurora	Aatrox	0.0	0.49467570341898337	Aurora	241.0
Aatrox_Brand	Aatrox	1.0	0.5430647764042074	Brand	49.0
Aatrox_Briar	Aatrox	1.0	0.5177544237652957	Briar	83.0
Aatrox_Caitlyn	Aatrox	1.0	0.5254389843617374	Caitlyn	22.0
Aatrox_Camille	Aatrox	-1.0	0.49007519671269206	Camille	860.0
Aatrox_Cassiopeia	Aatrox	-1.0	0.4596237016981917	Cassiopeia	146.0
Aatrox_Chogath	Aatrox	1.0	0.5126030566806002	Chogath	496.0
Aatrox_Darius	Aatrox	1.0	0.5068793200368441	Darius	1753.0
Aatrox_Diana	Aatrox	0.0	0.49060350007471704	Diana	60.0
Aatrox_DrMundo	Aatrox	1.0	0.5683830693190857	DrMundo	998.0
Aatrox_Draven	Aatrox	-1.0	0.48625935745670446	Draven	24.0
Aatrox_Ekko	Aatrox	-1.0	0.4547354421251238	Ekko	25.0
Aatrox_Elise	Aatrox	1.0	0.5230124393976902	Elise	30.0
Aatrox_Fiddlesticks	Aatrox	1.0	0.5210600559957683	Fiddlesticks	109.0
Aatrox_Fiora	Aatrox	-1.0	0.48287650640676444	Fiora	1381.0
Aatrox_Fizz	Aatrox	1.0	0.5053176136685077	Fizz	27.0
Aatrox_Galio	Aatrox	-1.0	0.42436921428724683	Galio	33.0
Aatrox_Gangplank	Aatrox	1.0	0.5159472317769838	Gangplank	1384.0
Aatrox_Garen	Aatrox	-1.0	0.4846936319657003	Garen	2172.0
Aatrox_Gnar	Aatrox	0.0	0.4913282284161683	Gnar	1338.0
Aatrox_Gragas	Aatrox	0.0	0.5032943031277753	Gragas	532.0
Aatrox_Graves	Aatrox	-1.0	0.4709449067701022	Graves	69.0
Aatrox_Gwen	Aatrox	-1.0	0.4856923103029518	Gwen	615.0
Aatrox_Heimerdinger	Aatrox	-1.0	0.4420590999937632	Heimerdinger	258.0
Aatrox_Illaoi	Aatrox	0.0	0.4926079615355236	Illaoi	632.0
Aatrox_Irelia	Aatrox	-1.0	0.4500455582798329	Irelia	1559.0
Aatrox_Ivern	Aatrox	-1.0	0.4674146966996859	Ivern	25.0
Aatrox_JarvanIV	Aatrox	-1.0	0.4463552900351751	JarvanIV	22.0
Aatrox_Jax	Aatrox	0.0	0.5009980186994042	Jax	1379.0
Aatrox_Jayce	Aatrox	0.0	0.4956649510584504	Jayce	1231.0
Aatrox_KSante	Aatrox	1.0	0.5359076616796176	KSante	1086.0
Aatrox_Kaisa	Aatrox	1.0	0.5618555599324565	Kaisa	42.0
Aatrox_Kalista	Aatrox	1.0	0.5386196000828312	Kalista	22.0
Aatrox_Karma	Aatrox	-1.0	0.47108136415763047	Karma	35.0
